id,name,isFork,commits,branches,defaultBranch,releases,contributors,license,watchers,stargazers,forks,size,createdAt,pushedAt,updatedAt,homepage,mainLanguage,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,languages,labels,topics
3435642,kevin-montrose/jil,FALSE,1275,19,master,0,18,MIT License,136,2120,250,78809,2013-09-23T04:08:19,2022-12-08T12:48:50,2022-12-20T07:14:11,,C#,274,36,80,9,,,,[],2019-12-24T08:18:25,9276eaa6a0aaea41d280ff01abeed56214f782df,,,"{""C#"":3527423,""PowerShell"":1927,""Batchfile"":247}","[""bug"",""dependencies"",""duplicate"",""enhancement"",""invalid"",""question"",""wontfix""]",[]
3435643,antaris/razorengine,FALSE,583,8,master,0,37,Apache License 2.0,168,1963,539,33900,2011-06-29T06:18:33,2021-05-11T04:32:23,2021-05-13T08:36:57,http://antaris.github.io/RazorEngine,C#,450,153,129,12,,,,[],2018-01-28T04:14:12,aa5dd2661fe040ce39020949ebd33d98a530ebe4,,,"{""C#"":1116770,""F#"":56525,""Shell"":2624,""Batchfile"":2091}","[""bug"",""caching"",""compilation"",""configuration"",""encoding"",""feature-request"",""isolation"",""layout"",""model"",""need-info"",""possible-bug"",""question"",""up-for-grabs"",""vb.net""]",[]
3436468,nefarius/scptoolkit,FALSE,1078,2,master,42,16,GNU General Public License v3.0,234,2686,475,38898,2015-07-27T05:11:30,2021-11-04T01:02:36,2021-11-04T08:15:05,http://forums.pcsx2.net/Thread-ScpToolkit-XInput-Wrapper-aka-ScpServer-Reloaded,C#,1004,0,25,0,,,,[],2021-11-04T01:02:36,fa759e1d41468cd38549fcac24c9851b2e9d217b,,,"{""C#"":847358,""C++"":196316,""Rich Text Format"":40720,""C"":11602,""Batchfile"":1266}","[""bug"",""duplicate"",""enhancement"",""fake controller"",""help wanted"",""invalid"",""question"",""wontfix""]",[]
3437384,freyaholmer/shaderforge,FALSE,702,3,master,0,4,,125,2263,502,308623,2013-09-22T07:36:07,2023-01-03T03:31:22,2023-01-17T08:39:41,,C#,14,4,6,3,,,,[],2023-01-03T03:31:22,3bde185e67178b687b4d0b1964367355aef471f8,,,"{""C#"":991215,""ShaderLab"":558735,""HTML"":16766}","[""bug"",""duplicate"",""enhancement"",""invalid"",""question"",""wontfix""]",[]
3438341,shadowsocksrr/shadowsocksr-csharp,TRUE,830,10,master,5,29,GNU General Public License v3.0,625,14977,3381,8279,2017-07-27T01:41:07,2022-09-09T11:40:24,2022-09-16T06:08:27,,C#,472,228,23,1,,,,[],2020-02-26T02:48:09,e14f56f36cac527ae0398c0b1e84593732f7a3e2,,,"{""C#"":1398326,""Shell"":317}","[""bug"",""duplicate"",""enhancement"",""help wanted"",""invalid"",""need more info"",""new feature request"",""question"",""wontfix""]",[]
3438346,telerik/justdecompileengine,FALSE,781,1,master,21,9,Other,131,1163,247,2706,2015-04-24T06:16:55,2020-03-09T02:47:04,2020-12-08T06:13:17,http://www.telerik.com/products/decompiler.aspx,C#,36,16,14,3,,,,[],2019-01-18T12:29:35,723d36684267560f6edf5ae6636512c3b3e7c1b7,,,{},[],[]
3439305,nancyfx/nancy,FALSE,5476,4,master,48,277,MIT License,449,7141,1504,45465,2010-06-24T07:35:22,2021-01-24T01:28:09,2021-01-24T09:30:27,http://nancyfx.org,C#,1332,196,1679,26,,,,[],2020-04-26T04:10:26,e523defb12f5ea3ec7b7129ed2b4aaf70aebed2f,,,{},[],[]
3439306,aspnet/javascriptservices,FALSE,1162,28,master,15,74,Apache License 2.0,282,3124,540,7758,2015-11-02T01:24:11,2020-04-07T09:28:18,2020-12-17T10:17:16,,C#,1470,0,225,0,,,,[],2020-04-07T09:28:18,23dc31ef044518291dafc4640d8260aae7af9e0f,,,{},[],[]
3439307,oneget/oneget,FALSE,781,11,WIP,11,26,MIT License,136,2340,197,6449,2014-04-03T08:57:40,2023-04-20T05:25:35,2023-04-23T04:30:10,,C#,335,93,203,4,,,,[],2023-04-20T05:25:35,d9cef3bb50c3ce110f4a078dae39069aa48e8b32,,,"{""C#"":2729689,""PowerShell"":427750,""Shell"":8387}","[""area-packagemanagement"",""bug"",""dependencies"",""discussion"",""doc-update-required"",""duplicate"",""enhancement"",""external"",""fixed"",""get-package"",""invalid"",""investigate"",""issue-bug"",""movetootherproject"",""new feature"",""not repro"",""powershellget"",""question"",""release-blocking"",""suggestion"",""triage-accepted"",""up-for-grabs"",""wontfix""]",[]
3439308,github-for-unity/unity,FALSE,5191,22,master,38,23,MIT License,253,2784,451,26407,2017-06-19T11:44:40,2023-04-12T10:15:13,2023-04-20T09:48:07,https://unity.github.com/,C#,546,4,634,12,9964,76564,20877,"[{""blankLines"":8787,""codeLines"":49679,""commentLines"":9371,""language"":""C#""},{""blankLines"":681,""codeLines"":1583,""commentLines"":0,""language"":""Markdown""},{""blankLines"":30,""codeLines"":103,""commentLines"":0,""language"":""DOS Batch""},{""blankLines"":36,""codeLines"":216,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":1,""codeLines"":190,""commentLines"":1,""language"":""Visual Studio Solution""},{""blankLines"":322,""codeLines"":21322,""commentLines"":11099,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":2206,""commentLines"":107,""language"":""MSBuild script""},{""blankLines"":49,""codeLines"":774,""commentLines"":75,""language"":""XML""},{""blankLines"":26,""codeLines"":98,""commentLines"":5,""language"":""YAML""},{""blankLines"":32,""codeLines"":58,""commentLines"":219,""language"":""TypeScript""},{""blankLines"":0,""codeLines"":335,""commentLines"":0,""language"":""JSON""}]",2022-10-19T05:40:17,6ba139411d80fed9e28d5b5043e4aff88648d4ff,,,"{""C#"":2291818,""JavaScript"":17688,""Shell"":6345,""Batchfile"":4616,""Smalltalk"":4182}","[""alpha-bug"",""bug"",""by design"",""cant-fix"",""could-not-reproduce"",""dependencies"",""design-needed"",""documentation"",""duplicate"",""enhancement"",""feature"",""good first issue"",""hacktoberfest"",""help wanted"",""infrastructure"",""linux"",""macos"",""more-information-needed"",""on-hold"",""question"",""ready-for-review"",""regression"",""tech-debt"",""todo"",""unity2017.1"",""unity2017.2"",""unity2017.3"",""unity2017.4"",""unity2018.1"",""unity2018.2"",""unity53"",""unity54"",""unity55"",""unity56"",""up-for-grabs"",""verified"",""windows"",""work-in-progress""]",[]
3439310,bitbeans/simplednscrypt,FALSE,788,2,master,45,28,MIT License,114,2086,226,101328,2015-09-18T01:07:44,2022-12-08T09:54:10,2022-12-20T10:26:03,https://simplednscrypt.org,C#,508,139,55,2,,,,[],2021-12-30T09:11:09,46dcbb7a312e5461f7dacbbc0b5a83ce13613790,,,"{""C#"":278016}","[""announcement"",""bug"",""dependencies"",""duplicate"",""enhancement"",""help wanted"",""invalid"",""more information needed"",""question"",""translation"",""wontfix""]",[]
3440774,app-vnext/polly,FALSE,1297,15,main,27,69,BSD 3-Clause New or Revised License,359,11924,1058,5651,2013-05-05T04:40:04,2023-05-29T07:57:35,2023-05-30T02:11:02,https://www.thepollyproject.org,C#,627,98,604,7,,,,[],2023-05-26T04:08:17,38d3e0952e45fa1b854050780fbf658c8775e54a,,,"{""C#"":3509930,""PowerShell"":2607,""Batchfile"":128}","["".net"",""advanced"",""announcement"",""awaiting further info/feedback"",""blocked awaiting new syntax"",""breaking change"",""bug"",""bug fix"",""cannot reproduce"",""ci/build"",""code styling clean-ups"",""community feedback wanted"",""compiler gotcha"",""configuration feature"",""dependencies"",""depends on implementing new syntax"",""discoverability"",""documentation"",""duplicate"",""edge-case bug"",""enhancement"",""feature"",""feature suggestion"",""github_actions"",""hackathon"",""held behind other prs"",""help wanted"",""how-to"",""in progress"",""incomplete feature"",""is documented / intended / expected behaviour"",""issue is outside polly"",""low prio for core polly team (contribs welcome!)"",""major project/rewrite"",""metrics"",""on-nuget-in-alpha"",""packaging"",""performance"",""polly-contrib?"",""pre-announce breaking chg per semver"",""question"",""ready"",""target frameworks"",""undiagnosed user issue"",""unit-testing"",""up-for-grabs"",""v5.0-alpha ready"",""v5.x"",""v8"",""v8.0-alpha ready"",""wontfix"",""wontimplement""]","[""circuit-breaker"",""circuit-breaker-pattern"",""dotnet"",""fault-handler"",""resilience"",""resiliency-patterns"",""retry-strategies"",""transient-fault-handling""]"
3440776,mono/monodevelop,FALSE,65100,389,main,0,250,,206,2680,945,375970,2010-07-22T04:09:08,2021-10-04T08:31:06,2021-10-06T10:55:20,http://www.monodevelop.com,C#,1591,572,8098,83,,,,[],2021-10-04T08:31:06,ba01d2d6d3c84e92a6b5f360dac76ee821547529,,,"{""C#"":34074114,""Makefile"":31876,""Shell"":23605,""HTML"":23420,""Objective-C++"":17297,""C"":13972,""F#"":9779,""Objective-C"":9210,""M4"":4386,""JavaScript"":4137,""Batchfile"":2674,""Roff"":2084,""Ruby"":1998,""CSS"":732,""ASP.NET"":303,""Less"":9,""SCSS"":9}","[""area: .net core"",""area: activation"",""area: add-ins"",""area: android"",""area: android add-in"",""area: assembly browser"",""area: azure tools"",""area: c# binding"",""area: debugger"",""area: dev loop"",""area: f#"",""area: flatpak"",""area: general"",""area: gtk# designer"",""area: ide platform"",""area: ide platform\\engineering\\infrastructure"",""area: ide platform\\legacy editor"",""area: ide platform\\runtime"",""area: ide platform\\start window"",""area: ide platform\\telemetry services"",""area: ide platform\\version control\\git"",""area: infrastructure"",""area: internal"",""area: ios"",""area: ios add-in"",""area: nuget"",""area: nunit"",""area: project management"",""area: project model"",""area: roslyn integration"",""area: shell"",""area: structured build output"",""area: test tools"",""area: text editor"",""area: unit testing"",""area: updater"",""area: version control"",""area: vs text editor"",""area: web tools"",""area: web tools\\asp.net core"",""area: web tools\\web editors"",""area: xamarin live player"",""area: xml editor"",""behavior-change"",""bug"",""ci-work"",""do-not-merge"",""do-not-review"",""error-cleanup"",""external-visual-studio-for-mac"",""feature-request"",""flakey-test"",""good first issue"",""help wanted"",""high-priority"",""linux"",""low-priority"",""must ship"",""need-info"",""not-regression"",""papercut"",""performance"",""qa-pending"",""regression"",""roslyn: approved for merge"",""roslyn: needs full build"",""roslyn: needs sign-off"",""techdebt"",""up-for-grabs"",""verified"",""vs-sync"",""windows""]",[]
3440777,xamarin/monodroid-samples,FALSE,1669,5,main,367,67,,425,2185,4130,344314,2010-08-16T04:08:19,2022-12-19T06:31:21,2023-01-04T04:58:55,http://android.xamarin.com,C#,141,81,206,12,,,,[],2022-07-27T08:30:09,03a34d80a7b4118ad359b29309e5e8d1cd898202,,,"{""C#"":5376545,""C"":63528,""HTML"":11088,""GLSL"":6825,""Ruby"":3246,""Shell"":2576,""JavaScript"":1887,""Java"":1821,""PowerShell"":1664,""CSS"":866,""Makefile"":500,""AIDL"":106,""Batchfile"":46}","[""do-not-merge""]",[]
3440778,praeclarum/ooui,FALSE,509,11,master,14,19,MIT License,131,1581,159,2561,2017-06-14T01:16:31,2022-12-07T07:46:33,2022-12-21T07:00:23,,C#,203,98,70,12,5358,33720,2863,"[{""blankLines"":0,""codeLines"":314,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":288,""commentLines"":0,""language"":""SVG""},{""blankLines"":2274,""codeLines"":13085,""commentLines"":387,""language"":""C#""},{""blankLines"":153,""codeLines"":454,""commentLines"":0,""language"":""Markdown""},{""blankLines"":1,""codeLines"":184,""commentLines"":2,""language"":""Visual Studio Solution""},{""blankLines"":10,""codeLines"":163,""commentLines"":1,""language"":""Razor""},{""blankLines"":27,""codeLines"":603,""commentLines"":0,""language"":""MSBuild script""},{""blankLines"":41,""codeLines"":102,""commentLines"":32,""language"":""C# Designer""},{""blankLines"":11,""codeLines"":65,""commentLines"":0,""language"":""HTML""},{""blankLines"":12,""codeLines"":7351,""commentLines"":31,""language"":""CSS""},{""blankLines"":4,""codeLines"":399,""commentLines"":9,""language"":""XAML""},{""blankLines"":2817,""codeLines"":10428,""commentLines"":2399,""language"":""JavaScript""},{""blankLines"":4,""codeLines"":225,""commentLines"":2,""language"":""XML""},{""blankLines"":0,""codeLines"":4,""commentLines"":0,""language"":""make""},{""blankLines"":4,""codeLines"":55,""commentLines"":0,""language"":""YAML""}]",2021-05-13T01:48:19,d3a9b9ddf08e9b09eaeac26d2a360969e1c985ec,,,"{""C#"":405894,""JavaScript"":16862,""HTML"":7323,""CSS"":755,""Makefile"":204}","[""bug"",""dependencies"",""duplicate"",""enhancement"",""good first issue"",""help wanted"",""invalid"",""performance"",""question"",""test needed"",""wontfix""]",[]
3442055,extendrealityltd/vrtk,FALSE,2473,2,master,12,54,MIT License,278,3509,991,102832,2016-04-23T08:55:19,2022-04-28T11:11:58,2022-05-01T01:40:34,https://www.vrtk.io/,C#,1100,20,1030,0,,,,[],2022-04-28T11:11:57,fe1a889ecc18716c8c0e549e078df493797f40dc,,,"{""C#"":21558}","[""attention required"",""bug"",""chore"",""discussion"",""duplicate"",""enhancement"",""feature"",""good first issue"",""help wanted"",""invalid"",""on hold"",""public service announcement"",""question"",""refactor"",""released"",""stale - closing soon"",""unconfirmed bug"",""waiting for feedback"",""waiting for update"",""wontfix""]",[]
3442056,scriptcs/scriptcs,FALSE,1967,5,dev,26,60,Other,147,2283,380,24989,2013-02-28T06:27:22,2020-06-07T09:18:04,2020-12-17T11:44:17,http://scriptcs.net,C#,726,159,586,0,,,,[],2020-06-07T09:18:03,fc0f0280fe9cda4941ce8f2a1f031245ab978f48,,,{},[],[]
3442058,ivaylokenov/mytested.aspnetcore.mvc,FALSE,1263,9,development,8,16,Other,75,1628,187,20860,2015-12-02T06:44:32,2023-01-02T07:29:54,2023-01-17T04:05:51,https://docs.mytestedasp.net/,C#,328,162,79,2,,,,[],2022-12-28T03:52:59,a57f3cec92e9c742c182eac4d1cfb24ebad720bc,,,"{""C#"":4286112}","[""bug"",""docs"",""duplicate"",""enhancement"",""feature"",""high priority"",""invalid"",""question""]",[]
3443615,microsoft/graphengine,FALSE,1775,31,master,0,17,MIT License,129,2034,316,41575,2017-02-09T05:02:16,2022-07-10T02:52:20,2022-07-05T06:37:21,https://www.graphengine.io/,C#,200,49,138,0,,,,[],2022-07-10T02:52:15,592ff2fccb8c36aff312d11ca223d20c6f7f6c67,,,"{""C#"":2422197,""C++"":1674930,""HTML"":629115,""Smalltalk"":267444,""CMake"":37767,""R"":37390,""Lex"":27094,""Yacc"":20935,""PowerShell"":12712,""Shell"":12488,""C"":12196,""Scala"":9986,""Batchfile"":1125,""sed"":153}","[""bug"",""build"",""config"",""corelib"",""deps"",""discussion"",""duplicate"",""enhancement"",""help wanted"",""invalid"",""io"",""likq"",""memory"",""module"",""network"",""question"",""storage"",""trinity-c"",""trinity-core"",""trinity-tsl"",""utilities"",""vsextension"",""wontfix""]",[]
3443616,unitytech/uiwidgets,FALSE,1865,36,master,2,10,Other,92,1861,251,69261,2018-08-10T02:56:35,2021-04-29T08:46:05,2021-04-29T08:47:40,,C#,172,42,290,3,,,,[],2021-04-29T08:46:05,b366e0100d95bb5f0c38e094538ba61b7ee7414e,,,"{""C#"":6028343,""ShaderLab"":43063,""Objective-C++"":42461,""Nunjucks"":34074,""Java"":31873,""HLSL"":5853,""Objective-C"":3152,""JavaScript"":2548}","[""bug"",""duplicate"",""enhancement"",""good first issue"",""help wanted"",""invalid"",""next milestone"",""question"",""wontfix""]",[]
3443618,sailro/reflexil,FALSE,590,1,master,18,8,,128,1412,253,52730,2013-08-09T03:15:14,2023-01-27T08:34:43,2023-01-31T07:37:10,http://reflexil.net,C#,0,0,15,0,,,,[],2023-01-27T08:34:43,e28c29617893f7cd903d09066046d68dd5111e57,,,"{""C#"":11049071,""Batchfile"":7486,""PowerShell"":931,""Shell"":333}","[""bug"",""duplicate"",""enhancement"",""invalid"",""need more info"",""question"",""wontfix""]",[]
3443630,meowv/blog,FALSE,1621,15,main,0,2,MIT License,26,1201,267,30809,2017-07-19T06:34:16,2023-06-19T04:03:48,2023-06-21T10:04:25,https://meowv.com,C#,23,5,17,7,,,,[],2021-08-21T01:26:41,efa7a0c309f5c7d52a9f5acd321088e89f4e3466,,,"{""C#"":351200,""HTML"":91960,""CSS"":62624,""JavaScript"":25709,""Dockerfile"":2503,""Less"":2385}","["".net"",""bug"",""dependencies"",""duplicate"",""enhancement"",""help wanted"",""invalid"",""javascript"",""question"",""wontfix""]","[""abpvnext"",""api"",""blazor-server"",""blogs"",""dotnet"",""mongodb"",""redis""]"
